Date,Open,High,Low,Close,Adj Close,Volume
2008-04-17,71.449997,72.410004,71.190002,71.820000,71.820000,0
2008-04-24,71.849998,73.110001,71.830002,72.510002,72.510002,0
2008-05-01,72.570000,73.699997,72.500000,73.510002,73.510002,0
2008-05-08,73.519997,73.889999,72.790001,73.400002,73.400002,0
2008-05-15,73.330002,73.510002,71.879997,71.940002,71.940002,0
2008-05-22,71.910004,72.750000,71.820000,72.550003,72.550003,0
2008-05-29,72.500000,73.519997,72.440002,73.419998,73.419998,0
2008-06-05,73.489998,73.870003,72.129997,73.209999,73.209999,0
2008-06-12,73.260002,74.309998,73.209999,73.440002,73.440002,0
2008-06-19,73.400002,73.650002,72.830002,72.930000,72.930000,0
2008-06-26,72.910004,73.080002,72.010002,72.029999,72.029999,0
2008-07-03,72.070000,73.160004,72.000000,72.580002,72.580002,0
2008-07-10,72.599998,72.839996,71.309998,72.059998,72.059998,0
2008-07-17,72.080002,72.849998,71.739998,72.809998,72.809998,0
2008-07-24,72.870003,73.540001,72.540001,73.320000,73.320000,0
2008-07-31,73.300003,74.309998,72.860001,74.239998,74.239998,0
2008-08-07,74.250000,76.620003,73.889999,76.209999,76.209999,0
2008-08-14,76.220001,77.410004,76.099998,76.959999,76.959999,0
2008-08-21,76.940002,77.620003,76.019997,77.050003,77.050003,0
2008-08-28,77.010002,78.650002,76.620003,78.089996,78.089996,0
2008-09-04,78.070000,80.160004,77.820000,79.849998,79.849998,0
2008-09-11,80.080002,80.379997,77.639999,78.099998,78.099998,0
2008-09-18,78.220001,79.209999,75.889999,76.790001,76.790001,0
2008-09-25,76.860001,79.870003,76.300003,79.459999,79.459999,0
2008-10-02,79.699997,81.750000,79.639999,80.910004,80.910004,0
2008-10-09,81.000000,83.190002,80.540001,82.050003,82.050003,0
2008-10-16,82.320000,85.919998,81.959999,85.370003,85.370003,0
2008-10-23,85.949997,87.879997,84.470001,85.070000,85.070000,0
2008-10-30,84.589996,86.900002,83.099998,84.610001,84.610001,0
2008-11-06,84.980003,87.790001,84.830002,87.470001,87.470001,0
2008-11-13,87.629997,88.150002,86.129997,87.309998,87.309998,0
2008-11-20,87.750000,88.459999,84.709999,85.669998,85.669998,0
2008-11-27,85.690002,87.320000,85.209999,87.029999,87.029999,0
2008-12-04,86.730003,87.699997,85.180000,85.480003,85.480003,0
2008-12-11,85.459999,85.489998,78.470001,78.910004,78.910004,0
2008-12-18,78.589996,81.620003,77.690002,81.209999,81.209999,0
2008-12-25,81.059998,81.760002,79.629997,81.309998,81.309998,0
2009-01-01,81.180000,84.019997,80.849998,82.279999,82.279999,0
2009-01-08,82.279999,84.639999,81.180000,84.419998,84.419998,0
2009-01-15,84.309998,86.500000,83.459999,85.820000,85.820000,0
2009-01-22,85.510002,86.809998,83.570000,84.669998,84.669998,0
2009-01-29,84.599998,86.550003,84.269997,85.699997,85.699997,0
2009-02-05,85.720001,86.300003,84.459999,85.779999,85.779999,0
2009-02-12,85.860001,88.250000,85.519997,88.010002,88.010002,0
2009-02-19,88.059998,88.129997,85.629997,87.910004,87.910004,0
2009-02-26,87.820000,89.620003,87.309998,88.580002,88.580002,0
2009-03-05,88.500000,89.489998,87.550003,87.870003,87.870003,0
2009-03-12,87.680000,88.540001,83.959999,84.599998,84.599998,0
2009-03-19,84.209999,84.599998,82.629997,83.809998,83.809998,0
2009-03-26,83.720001,86.129997,83.449997,85.500000,85.500000,0
2009-04-02,85.410004,85.769997,83.730003,85.360001,85.360001,0
2009-04-09,85.220001,86.000000,84.449997,85.080002,85.080002,0
2009-04-16,84.919998,86.870003,84.660004,86.190002,86.190002,0
2009-04-23,86.300003,86.379997,84.169998,84.470001,84.470001,0
2009-04-30,84.680000,84.949997,83.500000,83.800003,83.800003,0
2009-05-07,84.000000,84.349998,81.870003,82.500000,82.500000,0
2009-05-14,82.570000,83.220001,80.910004,80.989998,80.989998,0
